question_id,mode,pipeline,question,answer,answer_supported,has_unsupported_claims,has_conflict_error,comment
Q027,main,baseline,Чем конкурсный список отличается от приказа о зачислении?,"На основе предоставленного контекста, конкурсный список отличается от приказа о зачислении следующим образом: * **Статус документа:** Конкурсный список не является приказом о зачислении. Факт зачисления возникает только после издания приказа. * **Содержание:** В конкурсном списке указывается информация о рассмотрении заявления, допуске к участию в конкурсе и упорядочивании поступающих по убыванию суммы баллов. Приказ подтверждает факт зачисления студента по конкретной программе, форме обучения и условиям поступления. * **Динамика:** Положение в конкурсном списке может изменяться до завершения соответствующего этапа (из-за изменений в заявлениях, приоритетах, согласиях и т.д.), тогда как приказ фиксирует окончательный результат. * **Оценка положения:** Конкурсный список помогает оценить положение относительно других участников, но нахождение в нем не означает автоматического зачисления.",yes,no,not_applicable,Корректно различает конкурсный список и приказ о зачислении.
Q027,main,advanced,Чем конкурсный список отличается от приказа о зачислении?,"На основе предоставленного контекста, основные отличия конкурсного списка от приказа о зачислении следующие: 1. **Статус документа:** * **Конкурсный список** — это список поступающих, участвующих в конкурсе, упорядоченный по убыванию суммы конкурсных баллов. Он помогает оценить положение относительно других участников, но **не является приказом о зачислении**. * **Приказ о зачислении** — это официальный документ, издаваемый после завершения соответствующего этапа. Только после его издания возникает факт зачисления. 2. **Содержание и динамика:** * В **конкурсном списке** отображается информация о рассмотрении заявления, допуске к участию, сумма баллов, приоритеты, наличие согласия или договора. Положение в этом списке может изменяться до завершения этапа (из-за изменений в заявлениях, приоритетах, согласиях других поступающих и т.д.). * **Приказ** подтверждает окончательный факт зачисления. 3. **Типичная ошибка:** * Поступающие часто ошибочно считают себя зачисленными только потому, что находятся высоко в",yes,no,not_applicable,Корректно и подробно различает конкурсный список и приказ о зачислении.
Q027,main,posthoc,Чем конкурсный список отличается от приказа о зачислении?,"На основе предоставленного контекста, основные отличия заключаются в следующем: 1. **Статус документа:** * **Конкурсный список** — это список поступающих, участвующих в конкурсе, упорядоченный по убыванию суммы конкурсных баллов. Он показывает положение поступающего относительно других участников, но **не является приказом о зачислении**. * **Приказ о зачислении** — это официальный документ, издаваемый после завершения конкурса. Факт зачисления возникает только после его издания. 2. **Содержание и динамика:** * В **конкурсном списке** отображается информация о рассмотрении заявления, допуске к участию, сумма баллов, приоритеты и наличие согласия. Положение в списке может изменяться до завершения этапа из-за изменений в заявлениях, приоритетах, согласиях других поступающих или результатов конкурсов по квотам. * **Приказ** подтверждает окончательный факт зачисления. 3. **Типичная ошибка:** * Поступающие часто ошибочно считают себя зачисленными только потому, что находятся высоко в конкурсном списке, однако это",yes,no,not_applicable,Корректно и подробно различает конкурсный список и приказ о зачислении.
Q027,main,final_verified,Чем конкурсный список отличается от приказа о зачислении?,"Конкурсный список отличается от приказа о зачислении следующим образом: 1. **Конкурсный список** показывает поступающих, участвующих в конкурсе, и их положение по сумме конкурсных баллов. При этом важно понимать, что конкурсный список не является фактом зачисления. 2. **Приказ о зачислении** подтверждает факт зачисления. Факт зачисления подтверждается только приказом о зачислении. Таким образом, основное отличие заключается в том, что конкурсный список отражает результаты конкурса и позиции участников, но не фиксирует факт зачисления, который подтверждается исключительно приказом о зачислении.",yes,no,not_applicable,"Корректно фиксирует ключевое различие: список не является фактом зачисления, приказ подтверждает зачисление."
Q029,main,baseline,Какие стипендии и выплаты упоминаются для БВИ и поступающих с высокими баллами ЕГЭ?,"На основе предоставленного контекста, для поступающих без вступительных испытаний (БВИ) и абитуриентов с высокими баллами ЕГЭ упоминаются следующие выплаты: **Для поступающих без вступительных испытаний (БВИ):** * Повышенная стипендия в размере **40 000 рублей в месяц**. * Единоразовая выплата в размере **100 000 рублей** после зачисления. **Для поступающих с высокими баллами ЕГЭ:** * Стипендии по результатам ЕГЭ (условия могут отличаться в зависимости от программы). * Единоразовая выплата в размере **100 000 рублей** (для абитуриентов с 280–300 баллами и поступивших БВИ). **Общие условия:** * Все виды стипендий выплачиваются один раз в месяц до 30-го числа. * При назначении нескольких видов стипендий они могут поступать на счет в разные дни. * Поступающим с высокими баллами рекомендуется проверять наличие стипендий по результатам ЕГЭ на страницах конкретных",partial,no,not_applicable,"Указаны БВИ и единовременная выплата, но не раскрыты конкретные уровни выплат по диапазонам баллов ЕГЭ."
Q029,main,advanced,Какие стипендии и выплаты упоминаются для БВИ и поступающих с высокими баллами ЕГЭ?,"На основе предоставленного контекста, для поступающих без вступительных испытаний (БВИ) и абитуриентов с высокими баллами ЕГЭ упоминаются следующие стипендии и выплаты: **Для поступающих БВИ:** * **Повышенная ежемесячная стипендия:** 40 000 рублей в месяц (указано на 2025/26 учебный год). * **Единоразовая выплата после зачисления:** 100 000 рублей (для набравших 280–300 баллов и поступивших БВИ). * **Гарантированное место в общежитии** повышенной комфортности. **Для поступающих с высокими баллами ЕГЭ:** * **Стипендии по результатам ЕГЭ:** Предусмотрены для программ, где они указаны на страницах образовательных программ. * **Дополнительные выплаты для целевого обучения в Военном учебном центре:** * 10 000 рублей (при сумме баллов от 245 до 259). * 15 000",partial,yes,not_applicable,"Часть ответа релевантна, но добавлены нерелевантные сведения о ВУЦ и общежитии вместо полного перечня выплат по ЕГЭ."
Q029,main,posthoc,Какие стипендии и выплаты упоминаются для БВИ и поступающих с высокими баллами ЕГЭ?,"На основе предоставленного контекста, для поступающих без вступительных испытаний (БВИ) и абитуриентов с высокими баллами ЕГЭ упоминаются следующие стипендии и выплаты: **Для поступающих БВИ:** * **Повышенная ежемесячная стипендия:** 40 000 рублей в месяц (указано на 2025/26 учебный год). * **Единоразовая выплата после зачисления:** 100 000 рублей (для набравших 280–300 баллов и поступивших БВИ). * **Гарантированное место в общежитии** повышенной комфортности. **Для поступающих с высокими баллами ЕГЭ:** * **Стипендии по результатам ЕГЭ:** Предусмотрены для программ, где они указаны; выплачиваются при высоких баллах ЕГЭ. * **Дополнительные выплаты для целевого обучения в Военном учебном центре (ВУЦ):** * 10 000 рублей (при сумме баллов от 245 до 259). *",partial,yes,not_applicable,"Часть ответа релевантна, но добавлены нерелевантные сведения о ВУЦ и не полностью раскрыты выплаты по диапазонам ЕГЭ."
Q029,main,final_verified,Какие стипендии и выплаты упоминаются для БВИ и поступающих с высокими баллами ЕГЭ?,"Для поступающих без вступительных испытаний (БВИ) предусмотрена повышенная стипендия в размере 40 000 рублей в месяц. Для поступающих с высокими баллами ЕГЭ выплаты зависят от набранного результата: * Поступившие, набравшие 290–300 баллов ЕГЭ, получают выплату 30 000 рублей. * Поступившие, набравшие 280–289 баллов ЕГЭ, получают выплату 20 000 рублей. * Поступившие, набравшие 270–279 баллов ЕГЭ, получают выплату 12 000 рублей. * Поступившие, набравшие 250–269 баллов ЕГЭ, получают выплату 8 000 рублей. Кроме того, для абитуриентов, набравших 280–300 баллов и поступивших без вступительных испытаний, предусмотрена единоразовая выплата после зачисления в размере 100 000 рублей.",yes,no,not_applicable,"Ответ полно покрывает БВИ, диапазоны выплат по ЕГЭ и единовременную выплату."
Q035,main,baseline,Чем специализированное высшее образование отличается от базового высшего?,"Специализированное высшее образование отличается от базового следующим образом: * **Уровень и траектория:** Это разные уровни и траектории. Базовое образование ориентировано на поступающих на первый курс после школы или колледжа, тогда как специализированное (магистратура) предназначено для продолжения обучения после получения предыдущего образования. * **Опыт абитуриента:** Поступающие на специализированное образование уже имеют предыдущий образовательный, научный или профессиональный опыт. * **Перечень достижений:** Для специализированного образования действует отдельный перечень индивидуальных достижений, который отличается от перечня для базового образования. В него учитываются публикации, результаты интеллектуальной деятельности, документы об образовании с отличием, конкурсы, олимпиады, спортивные достижения и др. * **Система правил:** Поступление в специализированное образование включает собственную систему правил и материалов (программы, вступительные испытания, сроки, план приёма, индивидуальные достижения, целевой приём и т.д.). Документы для базового",yes,no,not_applicable,"Ответ корректно раскрывает различия уровней, траекторий и правил поступления."
Q035,main,advanced,Чем специализированное высшее образование отличается от базового высшего?,"Специализированное высшее образование отличается от базового следующим образом: * **Уровень и траектория:** Это разные уровни и траектории. Базовое образование ориентировано на поступающих после школы или колледжа, тогда как специализированное (магистратура) предназначено для продолжения обучения после базового высшего образования, бакалавриата или специалитета. * **Процедура поступления:** Поступление в специализированное образование включает собственную систему правил. Для него не используются стандартные конкурсные процедуры по результатам ЕГЭ, применяемые при поступлении на программы базового высшего образования. * **Документы и критерии:** Нельзя использовать только документы для базового образования для поступления в магистратуру. Для специализированного образования действуют отдельные перечни индивидуальных достижений (публикации, результаты интеллектуальной деятельности, документы об образовании с отличием, конкурсы, олимпиады, спортивные достижения), учитывающие предыдущий опыт поступающих. * **Сроки и план:** Поступающие должны отдельно проверять программы, вступительные испытания",yes,no,not_applicable,Ответ корректно и подробно раскрывает различия специализированного и базового высшего образования.
Q035,main,posthoc,Чем специализированное высшее образование отличается от базового высшего?,"Специализированное высшее образование отличается от базового следующим образом: * **Уровень и траектория:** Это разные уровни и траектории. Базовое образование ориентировано на поступающих после школы или колледжа, тогда как специализированное (магистратура) предназначено для продолжения обучения после базового высшего образования, бакалавриата или специалитета. * **Процедура поступления:** Поступление в специализированное образование включает собственную систему правил. Для него не используются стандартные конкурсные процедуры по результатам ЕГЭ, применяемые при поступлении на базовое образование. * **Документы и критерии:** Нельзя использовать только документы для базового образования для поступления в специализированное. Для магистратуры и специализированного образования действует отдельный перечень индивидуальных достижений (публикации, результаты интеллектуальной деятельности, документы об образовании с отличием, конкурсы, олимпиады, спортивные достижения), учитывающий предыдущий опыт поступающих. * **Сроки и план:** Поступающие должны отдельно проверять программы, в",yes,no,not_applicable,Ответ корректно и подробно раскрывает различия специализированного и базового высшего образования.
Q035,main,final_verified,Чем специализированное высшее образование отличается от базового высшего?,"Специализированное высшее образование отличается от базового по следующим признакам: 1. **Уровни и траектории**: Базовое высшее образование и специализированное высшее образование — это разные уровни и траектории. 2. **Программы и правила**: Для специализированного высшего образования действуют собственные программы, сроки, вступительные испытания и правила поступления. Нельзя использовать только документы для базового высшего образования и считать, что они полностью применимы к магистратуре (специализированному образованию). Также нельзя использовать правила базового высшего образования для магистратуры без проверки. 3. **Сроки обучения**: На официальной странице МАИ указано, что срок обучения по программам специализированного высшего образования по очной форме составляет 1 или 2 года. 4. **Характер поступления**: Специализированное высшее образование не является продолжением школьного поступления на первый курс в том же смысле, что базовое высшее образование. 5. **Вступительные испытания для базового образования**: Для базового высшего образования важны ЕГЭ или внутренние вступительные испытания для отдельных категорий поступающих.",yes,no,not_applicable,"Ответ корректно раскрывает основные различия, включая уровни, правила, сроки и вступительные испытания."
CQ006,conflict,baseline,Гарантируется ли общежитие всем иногородним студентам МАИ?,"Нет, общежитие не гарантируется всем иногородним студентам МАИ. Согласно предоставленным источникам: * Место в общежитии предоставляется не всем поступающим, а по установленным правилам и при наличии мест. * Абитуриент может быть зачислен в университет, но не получить место в общежитии, если не проходит по конкурсу на предоставление места или не относится к категории поступающих, для которых предусмотрено такое право. * Отметка о потребности в общежитии не равна гарантии получения места; она означает только участие в конкурсе. * Места распределяются на конкурсной основе в рамках квот. * Для поступающих без вступительных испытаний (БВИ) указано наличие «гарантированного места», но это преимущество распространяется только на эту конкретную категорию, а не на всех иногородних студентов.",yes,no,yes,"Фактический вывод корректен, но ответ не фиксирует наличие расхождений между источниками."
CQ006,conflict,advanced,Гарантируется ли общежитие всем иногородним студентам МАИ?,"Нет, общежитие не гарантируется всем иногородним студентам МАИ. Согласно предоставленным источникам: * Места предоставляются на **конкурсной основе**. * Зачисление на бюджет **не означает** автоматическое заселение; если поступающий не проходит по конкурсу на общежитие, он будет зачислен без него. * Право на проживание зависит от отдельного конкурса и приказа, а не только от факта зачисления в университет. * Абитуриент должен заранее указать потребность в общежитии при подаче заявления, но это означает лишь участие в конкурсе, а не гарантию получения места.",yes,no,yes,"Фактический вывод корректен, но конфликт источников явно не отражён."
CQ006,conflict,posthoc,Гарантируется ли общежитие всем иногородним студентам МАИ?,"Нет, общежитие не гарантируется всем иногородним студентам МАИ. Согласно предоставленным источникам: * Места предоставляются на **конкурсной основе**, а не автоматически. * Зачисление на бюджет не означает автоматическое заселение; если поступающий не проходит по конкурсу на общежитие, он будет зачислен без него. * Место предоставляется только тем, кто указал потребность в общежитии при подаче заявления и прошел соответствующий конкурс. * Для иногородних абитуриентов важно заранее определить потребность в общежитии, так как отметка о ней не равна гарантии получения места.",yes,no,yes,"Фактический вывод корректен, но конфликт источников явно не отражён."
CQ006,conflict,final_verified,Гарантируется ли общежитие всем иногородним студентам МАИ?,"Нет, общежитие не гарантируется всем иногородним студентам МАИ автоматически. Согласно предоставленным данным, места предоставляются на конкурсной основе, а отметка о потребности означает лишь участие в конкурсе, но не дает гарантии получения места. Если поступающий не проходит по конкурсу на общежитие, но проходит на бюджет, он будет зачислен без общежития. Также отмечается расхождение в источниках по вопросу гарантии или автоматического предоставления: один источник указывает, что места предоставляются только иногородним студентам очной формы обучения, указавшим потребность в общежитии, в то время как другой подчеркивает отсутствие автоматической гарантии и необходимость прохождения конкурса. При выборе программы в Москве необходимо учитывать расположение общежитий, транспортную доступность и бытовые условия, а при выборе программы в филиале — использовать информацию филиала, так как условия головного вуза не переносятся автоматически.",yes,no,no,"Корректно указано, что общежитие не гарантируется автоматически; расхождение источников отражено."
CQ007,conflict,baseline,Могут ли студенты платной формы автоматически получить общежитие после оплаты обучения?,"Нет, студенты платной формы не могут автоматически получить общежитие после оплаты обучения. Согласно предоставленным источникам: * Платное обучение не даёт автоматического права на место в общежитии. * Для студентов платной формы место может быть предоставлено только при наличии свободных мест, после заключения договора об образовании и подтверждения оплаты первого семестра. * Необходимо отдельно уточнить наличие вакантных мест, условия предоставления и возможность проживания. * Считать, что заключение договора на платное обучение автоматически даёт место в общежитии, нельзя.",yes,no,yes,"Ответ корректно отрицает автоматическое право, но не показывает наличие конфликтующих формулировок."
CQ007,conflict,advanced,Могут ли студенты платной формы автоматически получить общежитие после оплаты обучения?,"Нет, студенты платной формы не могут автоматически получить общежитие после оплаты обучения. Согласно предоставленным источникам: * Платное обучение не даёт автоматического права на место в общежитии. * Для студентов платной основы место может быть предоставлено только при наличии свободных мест, своевременной подачи заявления, заключения договора об образовании и подтверждения оплаты первого семестра. * Платным студентам необходимо отдельно уточнять наличие вакантных мест, условия предоставления и возможность проживания. * Считать, что заключение договора на платное обучение автоматически даёт место в общежитии, является ошибкой.",yes,no,yes,"Ответ корректный по сути, но конфликт источников явно не выделен."
CQ007,conflict,posthoc,Могут ли студенты платной формы автоматически получить общежитие после оплаты обучения?,"Нет, студенты платной формы не могут автоматически получить общежитие после оплаты обучения. Согласно предоставленным источникам: * Платное обучение не даёт автоматического права на место в общежитии. * Для студентов платной формы место может быть предоставлено только при наличии свободных мест, своевременной подачи заявления, заключения договора об образовании и подтверждения оплаты первого семестра. * Считание того, что заключение договора на платное обучение автоматически даёт место в общежитии, является ошибкой. * Платным иностранным студентам не следует рассчитывать на общежитие без проверки актуальных условий.",yes,no,yes,"Ответ корректный по сути, но конфликт источников явно не выделен."
CQ007,conflict,final_verified,Могут ли студенты платной формы автоматически получить общежитие после оплаты обучения?,"Нет, студенты платной формы не могут автоматически получить общежитие после оплаты обучения. Платное обучение не даёт автоматического права на получение места в общежитии. Студенты платной формы могут получить общежитие только при наличии свободных мест и своевременной подаче заявления. Место предоставляется после заключения договора об образовании и подтверждения оплаты первого семестра. Студентам платной формы следует отдельно уточнять наличие вакантных мест и условия предоставления общежития, так как это не гарантируется автоматически. В источниках также отмечено расхождение формулировок по вопросу гарантии или автоматического предоставления места.",yes,no,no,Корректно указано отсутствие автоматического права и отмечено расхождение формулировок.
CQ008,conflict,baseline,Гарантирует ли договор и оплата первого семестра зачисление на платное место в МАИ?,"Нет, договор и оплата первого семестра сами по себе не являются гарантией зачисления. Согласно предоставленным источникам, поступление на платное обучение также проходит по конкурсу. Если абитуриент не проходит на выбранное направление, по которому был заключен и оплачен договор, внесённые средства возвращаются в полном объёме либо договор может быть переоформлен на другое направление при наличии такой возможности.",yes,no,yes,"Фактический ответ корректен, но не отражает наличие конфликтующего источника."
CQ008,conflict,advanced,Гарантирует ли договор и оплата первого семестра зачисление на платное место в МАИ?,"Нет, договор и оплата первого семестра не гарантируют зачисление на платное место в МАИ. Согласно предоставленным источникам: * Договор и оплата сами по себе не являются гарантией зачисления. * Поступление на платное обучение также проходит по конкурсу. * Если абитуриент не проходит по конкурсу на выбранное направление, даже при наличии заключенного и оплаченного договора, внесенные средства возвращаются в полном объеме либо договор может быть переоформлен на другое направление. * Ключевым условием зачисления является не только заключение договора и оплата, но и выполнение условий, предусмотренных договором и правилами приёма (в частности, прохождение конкурса).",yes,no,yes,"Фактический ответ корректен и полон, но конфликт источников явно не обозначен."
CQ008,conflict,posthoc,Гарантирует ли договор и оплата первого семестра зачисление на платное место в МАИ?,"Нет, договор и оплата первого семестра не гарантируют зачисление на платное место в МАИ. Согласно предоставленным источникам: * Договор и оплата сами по себе не являются гарантией зачисления. * Поступление на платное обучение также проходит по конкурсу. * Если абитуриент не проходит по конкурсу на выбранное направление, даже при наличии заключенного и оплаченного договора, внесённые средства возвращаются в полном объёме либо договор может быть переоформлен на другое направление. * Ключевым условием зачисления является не только заключение договора и оплата, но и выполнение условий, предусмотренных договором и правилами приёма (в частности, прохождение конкурса).",yes,no,yes,"Фактический ответ корректен и полон, но конфликт источников явно не обозначен."
CQ008,conflict,final_verified,Гарантирует ли договор и оплата первого семестра зачисление на платное место в МАИ?,"Согласно предоставленным источникам, заключение договора и оплата первого семестра являются достаточным основанием для включения поступающего в приказ о зачислении на платное место при условии своевременной подачи заявления и прохождения проверки документов. В источниках нет информации о противоречиях или расхождениях между документами; они описывают согласованную процедуру зачисления и предоставления общежития, не указывая на отсутствие гарантий или конкурсный характер приема.",no,yes,yes,"Ответ ошибочно утверждает, что договор и оплата являются достаточным основанием для приказа, и не обнаруживает противоречие источников."
